,city,longitude,latitude,temp_day J+1 2025-04-27,feels_like_day J+1 2025-04-27,clouds J+1 2025-04-27,pop J+1 2025-04-27,temp_day J+2 2025-04-28,feels_like_day J+2 2025-04-28,clouds J+2 2025-04-28,pop J+2 2025-04-28,temp_day J+3 2025-04-29,feels_like_day J+3 2025-04-29,clouds J+3 2025-04-29,pop J+3 2025-04-29,temp_day J+4 2025-04-30,feels_like_day J+4 2025-04-30,clouds J+4 2025-04-30,pop J+4 2025-04-30,temp_day J+5 2025-05-01,feels_like_day J+5 2025-05-01,clouds J+5 2025-05-01,pop J+5 2025-05-01,temp_day J+6 2025-05-02,feels_like_day J+6 2025-05-02,clouds J+6 2025-05-02,pop J+6 2025-05-02,temp_day J+7 2025-05-03,feels_like_day J+7 2025-05-03,clouds J+7 2025-05-03,pop J+7 2025-05-03,id,temp_day_mean,difference_feels_like_day_mean,clouds_mean,pop_mean,temp_day_score,feels_like_score,clouds_score,pop_score,global_score,rank
19,Nimes,4.3600687,43.8374249,18.97,18.33,99,1.0,22.27,21.81,7,0.0,23.73,23.26,23,0.0,25.17,24.76,0,0.0,25.97,25.97,0,0.0,29.11,28.03,3,0.0,28.53,27.35,66,0.0,25,24.821428571428573,0.605714285714285,28.285714285714285,0.14285714285714285,20,20,15,10,14.5,20. Nimes
20,Aigues Mortes,4.1915400,43.5661521,17.44,16.94,100,1.0,19.1,18.66,7,0.0,18.43,18.03,15,0.0,19.3,18.85,0,0.0,20.5,20.02,0,0.0,22.17,21.8,1,0.0,22.31,21.9,91,0.0,26,19.892857142857142,0.43571428571428683,30.571428571428573,0.14285714285714285,20,20,15,10,14.5,21. Aigues Mortes
21,Saintes Maries de la mer,4.4277202,43.4515922,16.91,16.48,100,1.0,18.08,17.64,7,0.0,17.24,16.85,25,0.0,17.77,17.38,0,0.0,18.62,18.13,0,0.0,21.33,21.03,4,0.0,21.98,21.59,91,0.0,27,18.847142857142853,0.4042857142857095,32.42857142857143,0.14285714285714285,20,20,15,10,14.5,22. Saintes Maries de la mer
22,Collioure,3.0831554,42.5250500,13.84,13.29,100,1.0,19.75,19.3,7,0.05,21.26,20.85,1,0.0,21.62,21.17,0,0.0,23.66,23.23,0,0.0,25.11,24.72,10,0.0,22.62,22.16,100,0.0,28,21.122857142857146,0.4485714285714266,31.142857142857142,0.15,20,20,15,10,14.5,23. Collioure
23,Carcassonne,2.3491069,43.2130358,11.49,11.15,100,1.0,21.5,21.04,4,0.0,21.51,21.05,28,0.0,22.87,22.34,0,0.0,24.11,23.62,0,0.0,28.48,27.2,21,0.0,28.78,27.59,78,0.0,29,22.677142857142858,0.678571428571427,33.0,0.14285714285714285,20,20,15,10,14.5,24. Carcassonne
24,Toulouse,1.4442469,43.6044622,15.06,14.68,97,1.0,19.79,19.37,0,0.0,21.62,21.25,2,0.0,22.68,22.23,0,0.0,23.35,23.05,1,0.0,26.36,26.36,11,0.0,26.33,26.33,90,0.0,31,22.169999999999998,0.274285714285714,28.714285714285715,0.14285714285714285,20,20,15,10,14.5,25. Toulouse
25,Montauban,1.3549991,44.0175835,15.45,15.11,94,1.0,19.41,19.08,0,0.41,21.92,21.58,0,0.08,23.14,22.79,0,0.0,22.99,22.73,1,0.0,26.14,26.14,56,0.0,25.79,25.76,85,0.0,32,22.12,0.23571428571428754,33.714285714285715,0.21285714285714286,20,20,15,10,14.5,26. Montauban
26,Biarritz,-1.5592776,43.4832523,14.11,13.95,89,1.0,20.27,19.89,0,0.0,22.82,22.44,15,0.0,23.02,22.6,0,0.0,21.52,21.24,6,0.0,24.56,24.48,91,0.0,18.95,18.65,100,0.0,33,20.75,0.2857142857142847,43.0,0.14285714285714285,20,20,10,10,14.0,27. Biarritz
27,Bayonne,-1.4736657,43.4945144,14.53,14.44,84,1.0,21.26,20.9,0,0.0,24.3,23.93,5,0.0,24.54,24.12,0,0.0,23.55,23.27,12,0.0,26.21,26.21,89,0.0,20.46,20.1,100,0.0,34,22.12142857142857,0.2685714285714269,41.42857142857143,0.14285714285714285,20,20,10,10,14.0,28. Bayonne
28,Chateau du Haut Koenigsbourg,7.3443202,48.2494107,12.49,11.44,99,0.0,16.28,15.35,12,0.0,18.97,18.28,3,0.0,20.12,19.34,0,0.0,21.37,21.08,33,0.99,20.93,20.41,38,0.34,15.74,14.34,0,0.0,10,17.985714285714284,0.808571428571426,26.428571428571427,0.19,10,20,15,10,12.5,29. Chateau du Haut Koenigsbourg
29,Annecy,6.1288847,45.8992348,17.44,16.94,94,1.0,17.86,17.5,89,1.0,21.45,21.17,9,1.0,23.22,22.98,5,0.29,24.82,24.51,0,0.0,24.35,23.88,0,0.0,21.53,21.1,0,0.0,15,21.524285714285714,0.36999999999999744,28.142857142857142,0.47000000000000003,20,20,15,5,12.0,30. Annecy
30,Lyon,4.8320114,45.7578137,16.9,16.34,99,0.96,18.81,18.31,75,0.78,22.74,22.35,3,0.64,23.78,23.55,0,0.0,25.04,24.75,0,0.0,24.86,24.52,0,0.0,22.11,21.76,1,0.0,17,22.034285714285716,0.38000000000000256,25.428571428571427,0.33999999999999997,20,20,15,5,12.0,31. Lyon
31,Gorges du Verdon,6.3285616,43.7496562,12.64,11.94,99,1.0,16.39,15.55,22,1.0,16.35,15.42,36,0.94,19.69,18.81,1,0.53,21.29,20.47,0,0.0,22.18,21.47,0,0.0,21.86,21.25,1,0.0,18,18.628571428571433,0.7842857142857191,22.714285714285715,0.49571428571428566,20,20,15,5,12.0,32. Gorges du Verdon
32,Besancon,6.0243622,47.2380222,16.95,16.42,81,0.98,19.71,19.22,18,0.67,21.84,21.57,6,0.96,22.98,22.61,0,0.24,23.79,23.58,2,0.89,23.25,22.96,0,0.09,20.32,19.79,0,0.0,13,21.262857142857143,0.384285714285717,15.285714285714286,0.547142857142857,20,20,20,0,10.0,33. Besancon
33,Grenoble,5.7357819,45.1875602,17.1,16.85,100,1.0,20.21,20.04,37,1.0,23.59,23.21,2,0.93,24.84,24.63,0,0.98,26.23,26.23,0,0.75,25.84,25.68,0,0.0,24.01,23.72,0,0.0,16,23.117142857142856,0.20857142857142463,19.857142857142858,0.6657142857142857,20,20,20,0,10.0,34. Grenoble
34,Ariege,1.4065544,42.9455368,5.86,5.86,100,0.97,16.68,15.71,1,1.0,19.19,18.29,3,0.95,20.84,19.84,0,0.0,21.24,20.33,0,0.0,23.87,23.12,7,0.0,23.61,22.97,99,0.79,30,18.755714285714287,0.7385714285714293,30.0,0.53,20,20,15,0,9.5,35. Ariege
